LexToken(KW_VOID,'void',7,245)
LexToken(ID,'main',7,250)
LexToken(DEL_LPAREN,'(',7,254)
LexToken(DEL_RPAREN,')',7,255)
LexToken(DEL_LBRACE,'{',7,257)
LexToken(DT_STRING,'String',8,261)
LexToken(ID,'mensaje',8,268)
LexToken(OP_ASSIGN,'=',8,276)
LexToken(VAL_STRING,'Hola Mundo',8,278)
LexToken(DEL_SEMICOLON,';',8,290)
LexToken(KW_FINAL,'final',9,294)
LexToken(ID,'mensaje2',9,300)
LexToken(OP_ASSIGN,'=',9,309)
LexToken(VAL_STRING,'Hola de nuevo',9,311)
LexToken(DEL_SEMICOLON,';',9,326)
LexToken(DT_LIST,'List',10,330)
LexToken(OP_LESS,'<',10,334)
LexToken(DT_INT,'int',10,335)
LexToken(OP_GREATHER,'>',10,338)
LexToken(ID,'lista',10,340)
LexToken(OP_ASSIGN,'=',10,346)
LexToken(DEL_LBRACKET,'[',10,348)
LexToken(VAL_INT,1,10,349)
LexToken(DEL_COMMA,',',10,350)
LexToken(VAL_INT,2,10,352)
LexToken(DEL_COMMA,',',10,353)
LexToken(VAL_INT,3,10,355)
LexToken(DEL_RBRACKET,']',10,356)
LexToken(DEL_SEMICOLON,';',10,357)
LexToken(KW_VAR,'var',11,361)
LexToken(ID,'valorNulo',11,365)
LexToken(OP_NULLABLE,'?',11,374)
LexToken(OP_ASSIGN,'=',11,376)
LexToken(KW_NULL,'null',11,378)
LexToken(DEL_SEMICOLON,';',11,382)
LexToken(DT_INT,'int',12,386)
LexToken(ID,'a',12,390)
LexToken(OP_ASSIGN,'=',12,392)
LexToken(VAL_INT,10,12,394)
LexToken(DEL_SEMICOLON,';',12,396)
LexToken(DT_INT,'int',13,400)
LexToken(ID,'b',13,404)
LexToken(OP_ASSIGN,'=',13,406)
LexToken(VAL_INT,5,13,408)
LexToken(DEL_SEMICOLON,';',13,409)
LexToken(DT_INT,'int',14,413)
LexToken(ID,'c',14,417)
LexToken(OP_ASSIGN,'=',14,419)
LexToken(ID,'a',14,421)
LexToken(OP_ARITHMETIC,'+',14,423)
LexToken(ID,'b',14,425)
LexToken(OP_ARITHMETIC,'-',14,427)
LexToken(DEL_LPAREN,'(',14,429)
LexToken(ID,'a',14,430)
LexToken(OP_ARITHMETIC,'*',14,432)
LexToken(ID,'b',14,434)
LexToken(DEL_RPAREN,')',14,435)
LexToken(OP_ARITHMETIC,'/',14,437)
LexToken(DEL_LPAREN,'(',14,439)
LexToken(ID,'a',14,440)
LexToken(OP_ARITHMETIC,'%',14,442)
LexToken(ID,'b',14,444)
LexToken(DEL_RPAREN,')',14,445)
LexToken(DEL_SEMICOLON,';',14,446)
LexToken(ID,'a',15,450)
LexToken(OP_SINGLE_INCREMENT,'++',15,451)
LexToken(DEL_SEMICOLON,';',15,453)
LexToken(ID,'b',16,457)
LexToken(OP_SINGLE_DECREMENT,'--',16,458)
LexToken(DEL_SEMICOLON,';',16,460)
LexToken(KW_IF,'if',18,467)
LexToken(DEL_LPAREN,'(',18,470)
LexToken(ID,'a',18,471)
LexToken(OP_LESS,'<',18,473)
LexToken(ID,'b',18,475)
LexToken(DEL_RPAREN,')',18,476)
LexToken(DEL_LBRACE,'{',18,478)
LexToken(DEL_RBRACE,'}',20,499)
LexToken(KW_IF,'if',21,503)
LexToken(DEL_LPAREN,'(',21,506)
LexToken(ID,'a',21,507)
LexToken(OP_GREATHER,'>',21,509)
LexToken(ID,'b',21,511)
LexToken(DEL_RPAREN,')',21,512)
LexToken(DEL_LBRACE,'{',21,514)
LexToken(DEL_RBRACE,'}',23,535)
LexToken(KW_SWITCH,'switch',25,542)
LexToken(DEL_LPAREN,'(',25,549)
LexToken(ID,'a',25,550)
LexToken(DEL_RPAREN,')',25,551)
LexToken(DEL_LBRACE,'{',25,553)
LexToken(KW_CASE,'case',26,559)
LexToken(VAL_INT,1,26,564)
LexToken(DEL_COLON,':',26,565)
LexToken(KW_BREAK,'break',27,573)
LexToken(DEL_SEMICOLON,';',27,578)
LexToken(KW_DEFAULT,'default',28,584)
LexToken(DEL_COLON,':',28,591)
LexToken(KW_BREAK,'break',29,599)
LexToken(DEL_SEMICOLON,';',29,604)
LexToken(DEL_RBRACE,'}',30,608)
LexToken(DEL_RBRACE,'}',31,610)
Caracter ilegal: '@' en la linea 32
LexToken(KW_CLASS,'class',33,614)
LexToken(ID,'MyClass',33,620)
LexToken(DEL_LBRACE,'{',33,628)
LexToken(DEL_RBRACE,'}',33,629)

