LexToken(KW_VOID,'void',6,144)
LexToken(ID,'main',6,149)
LexToken(DEL_LPAREN,'(',6,153)
LexToken(DEL_RPAREN,')',6,154)
LexToken(DEL_LBRACE,'{',6,156)
LexToken(KW_VAR,'var',8,248)
LexToken(ID,'variable',8,252)
LexToken(OP_ASSIGN,'=',8,261)
LexToken(VAL_INT,100,8,263)
LexToken(DEL_SEMICOLON,';',8,266)
LexToken(KW_FINAL,'final',9,270)
LexToken(DT_INT,'int',9,276)
LexToken(ID,'miEntero',9,280)
LexToken(OP_ASSIGN,'=',9,289)
LexToken(VAL_INT,50,9,291)
LexToken(DEL_SEMICOLON,';',9,293)
LexToken(KW_CONST,'const',10,297)
LexToken(DT_BOOL,'bool',10,303)
LexToken(ID,'flag',10,308)
LexToken(OP_ASSIGN,'=',10,313)
LexToken(KW_TRUE,'true',10,315)
LexToken(DEL_SEMICOLON,';',10,319)
LexToken(DT_MAP,'Map',11,323)
LexToken(OP_LESS,'<',11,326)
LexToken(DT_STRING,'String',11,327)
LexToken(DEL_COMMA,',',11,333)
LexToken(DT_INT,'int',11,335)
LexToken(OP_GREATHER,'>',11,338)
LexToken(OP_NULLABLE,'?',11,339)
LexToken(ID,'mapa',11,341)
LexToken(DEL_SEMICOLON,';',11,345)
LexToken(DT_DOUBLE,'double',14,449)
LexToken(ID,'decimal',14,456)
LexToken(OP_ASSIGN,'=',14,464)
LexToken(VAL_DOUBLE,3.14,14,466)
LexToken(DEL_SEMICOLON,';',14,470)
LexToken(DT_BOOL,'bool',15,474)
LexToken(ID,'esFalso',15,479)
LexToken(OP_ASSIGN,'=',15,487)
LexToken(KW_FALSE,'false',15,489)
LexToken(DEL_SEMICOLON,';',15,494)
LexToken(DT_SET,'Set',16,498)
LexToken(OP_LESS,'<',16,501)
LexToken(DT_DOUBLE,'double',16,502)
LexToken(OP_GREATHER,'>',16,508)
LexToken(OP_NULLABLE,'?',16,509)
LexToken(ID,'conjunto',16,511)
LexToken(DEL_SEMICOLON,';',16,519)
LexToken(DT_INT,'int',17,523)
LexToken(OP_NULLABLE,'?',17,526)
LexToken(ID,'numeroNulable',17,528)
LexToken(OP_ASSIGN,'=',17,542)
LexToken(KW_NULL,'null',17,544)
LexToken(DEL_SEMICOLON,';',17,548)
LexToken(DT_BOOL,'bool',18,552)
LexToken(ID,'condicion',18,557)
LexToken(OP_ASSIGN,'=',18,567)
LexToken(DEL_LPAREN,'(',18,569)
LexToken(ID,'decimal',18,570)
LexToken(OP_RELACIONAL,'>=',18,578)
LexToken(VAL_DOUBLE,3.0,18,581)
LexToken(DEL_RPAREN,')',18,584)
LexToken(OP_LOGIC,'&&',18,586)
LexToken(DEL_LPAREN,'(',18,589)
LexToken(ID,'decimal',18,590)
LexToken(OP_RELACIONAL,'<=',18,598)
LexToken(VAL_DOUBLE,4.0,18,601)
LexToken(DEL_RPAREN,')',18,604)
LexToken(OP_LOGIC,'||',18,606)
LexToken(OP_LOGIC,'!',18,609)
LexToken(ID,'esFalso',18,610)
LexToken(DEL_SEMICOLON,';',18,617)
LexToken(DT_INT,'int',19,621)
LexToken(ID,'obtenerValor',19,625)
LexToken(DEL_LPAREN,'(',19,637)
LexToken(DEL_RPAREN,')',19,638)
LexToken(OP_ARROW,'=>',19,640)
LexToken(VAL_INT,10,19,643)
LexToken(DEL_SEMICOLON,';',19,645)
LexToken(DT_STRING,'String',22,755)
LexToken(ID,'cadenaDoble',22,762)
LexToken(OP_ASSIGN,'=',22,774)
LexToken(VAL_STRING,'Texto en comillas dobles',22,776)
LexToken(DEL_SEMICOLON,';',22,802)
LexToken(DT_STRING,'String',23,806)
LexToken(ID,'cadenaSimple',23,813)
LexToken(OP_ASSIGN,'=',23,826)
LexToken(VAL_STRING,'Texto en comillas simples',23,828)
LexToken(DEL_SEMICOLON,';',23,855)
LexToken(DT_LIST,'List',24,859)
LexToken(OP_LESS,'<',24,863)
LexToken(DT_INT,'int',24,864)
LexToken(OP_GREATHER,'>',24,867)
LexToken(ID,'miLista',24,869)
LexToken(OP_ASSIGN,'=',24,877)
LexToken(DEL_LBRACKET,'[',24,879)
LexToken(VAL_INT,1,24,880)
LexToken(DEL_COMMA,',',24,881)
LexToken(VAL_INT,2,24,883)
LexToken(DEL_COMMA,',',24,884)
LexToken(VAL_INT,3,24,886)
LexToken(DEL_RBRACKET,']',24,887)
LexToken(DEL_SEMICOLON,';',24,888)
LexToken(KW_VAR,'var',25,892)
LexToken(ID,'nulo',25,896)
LexToken(OP_ASSIGN,'=',25,901)
LexToken(KW_NULL,'null',25,903)
LexToken(DEL_SEMICOLON,';',25,907)
LexToken(DT_INT,'int',26,911)
LexToken(ID,'calculo',26,915)
LexToken(OP_ASSIGN,'=',26,923)
LexToken(DEL_LPAREN,'(',26,925)
LexToken(VAL_INT,10,26,926)
LexToken(OP_ARITHMETIC,'+',26,929)
LexToken(VAL_INT,5,26,931)
LexToken(DEL_RPAREN,')',26,932)
LexToken(OP_ARITHMETIC,'*',26,934)
LexToken(VAL_INT,2,26,936)
LexToken(OP_ARITHMETIC,'/',26,938)
LexToken(VAL_INT,3,26,940)
LexToken(OP_ARITHMETIC,'-',26,942)
LexToken(VAL_INT,1,26,944)
LexToken(OP_ARITHMETIC,'%',26,946)
LexToken(VAL_INT,2,26,948)
LexToken(DEL_SEMICOLON,';',26,949)
LexToken(ID,'variable',27,953)
LexToken(OP_ARITHMETIC,'++',27,961)
LexToken(DEL_SEMICOLON,';',27,963)
LexToken(ID,'variable',28,967)
LexToken(OP_ARITHMETIC,'--',28,975)
LexToken(DEL_SEMICOLON,';',28,977)
LexToken(KW_IF,'if',30,984)
LexToken(DEL_LPAREN,'(',30,987)
LexToken(ID,'variable',30,988)
LexToken(OP_LESS,'<',30,997)
LexToken(VAL_INT,200,30,999)
LexToken(DEL_RPAREN,')',30,1002)
LexToken(DEL_LBRACE,'{',30,1004)
LexToken(DEL_RBRACE,'}',32,1021)
LexToken(KW_IF,'if',33,1025)
LexToken(DEL_LPAREN,'(',33,1028)
LexToken(ID,'variable',33,1029)
LexToken(OP_GREATHER,'>',33,1038)
LexToken(VAL_INT,50,33,1040)
LexToken(DEL_RPAREN,')',33,1042)
LexToken(DEL_LBRACE,'{',33,1044)
LexToken(DEL_RBRACE,'}',35,1061)
LexToken(KW_SWITCH,'switch',37,1068)
LexToken(DEL_LPAREN,'(',37,1075)
LexToken(ID,'variable',37,1076)
LexToken(DEL_RPAREN,')',37,1084)
LexToken(DEL_LBRACE,'{',37,1086)
LexToken(KW_CASE,'case',38,1092)
LexToken(VAL_INT,100,38,1097)
LexToken(DEL_COLON,':',38,1100)
LexToken(KW_PRINT,'print',39,1108)
LexToken(DEL_LPAREN,'(',39,1113)
LexToken(ID,'cadenaDoble',39,1114)
LexToken(DEL_RPAREN,')',39,1125)
LexToken(DEL_SEMICOLON,';',39,1126)
LexToken(KW_BREAK,'break',40,1134)
LexToken(DEL_SEMICOLON,';',40,1139)
LexToken(KW_DEFAULT,'default',41,1145)
LexToken(DEL_COLON,':',41,1152)
LexToken(KW_PRINT,'print',42,1160)
LexToken(DEL_LPAREN,'(',42,1165)
LexToken(ID,'cadenaSimple',42,1166)
LexToken(DEL_RPAREN,')',42,1178)
LexToken(DEL_SEMICOLON,';',42,1179)
LexToken(KW_BREAK,'break',43,1187)
LexToken(DEL_SEMICOLON,';',43,1192)
LexToken(DEL_RBRACE,'}',44,1196)
LexToken(KW_FOR,'for',46,1203)
LexToken(DEL_LPAREN,'(',46,1207)
LexToken(DT_INT,'int',46,1208)
LexToken(ID,'i',46,1212)
LexToken(OP_ASSIGN,'=',46,1214)
LexToken(VAL_INT,0,46,1216)
LexToken(DEL_SEMICOLON,';',46,1217)
LexToken(ID,'i',46,1219)
LexToken(OP_LESS,'<',46,1221)
LexToken(VAL_INT,5,46,1223)
LexToken(DEL_SEMICOLON,';',46,1224)
LexToken(ID,'i',46,1226)
LexToken(OP_ARITHMETIC,'++',46,1227)
LexToken(DEL_RPAREN,')',46,1229)
LexToken(DEL_LBRACE,'{',46,1231)
LexToken(KW_WHILE,'while',47,1237)
LexToken(DEL_LPAREN,'(',47,1243)
LexToken(ID,'variable',47,1244)
LexToken(OP_GREATHER,'>',47,1253)
LexToken(VAL_INT,90,47,1255)
LexToken(DEL_RPAREN,')',47,1257)
LexToken(DEL_LBRACE,'{',47,1259)
LexToken(KW_BREAK,'break',48,1267)
LexToken(DEL_SEMICOLON,';',48,1272)
LexToken(DEL_RBRACE,'}',49,1278)
LexToken(DEL_RBRACE,'}',50,1282)
LexToken(KW_RETURN,'return',52,1289)
LexToken(DEL_SEMICOLON,';',52,1295)
LexToken(DEL_RBRACE,'}',53,1297)
LexToken(KW_CLASS,'class',55,1300)
LexToken(ID,'ParentClass',55,1306)
LexToken(DEL_LBRACE,'{',55,1318)
LexToken(DT_INT,'int',56,1322)
LexToken(ID,'method',56,1326)
LexToken(DEL_LPAREN,'(',56,1332)
LexToken(DEL_RPAREN,')',56,1333)
LexToken(DEL_LBRACE,'{',56,1335)
LexToken(DEL_RBRACE,'}',56,1336)
LexToken(DEL_RBRACE,'}',57,1338)
LexToken(KW_CLASS,'class',60,1408)
LexToken(ID,'SonClass',60,1414)
LexToken(ID,'extends',60,1423)
LexToken(ID,'ParentClass',60,1431)
LexToken(DEL_LBRACE,'{',60,1443)
Caracter ilegal: '@' en la linea 63
LexToken(ID,'override',63,1609)
LexToken(DT_INT,'int',64,1620)
LexToken(ID,'method',64,1624)
LexToken(DEL_LPAREN,'(',64,1630)
LexToken(DEL_RPAREN,')',64,1631)
LexToken(DEL_LBRACE,'{',64,1633)
LexToken(DEL_RBRACE,'}',64,1634)
LexToken(DEL_RBRACE,'}',65,1636)

