LexToken(KW_VOID,'void',7,258)
LexToken(ID,'main',7,263)
LexToken(DEL_LPAREN,'(',7,267)
LexToken(DEL_RPAREN,')',7,268)
LexToken(DEL_LBRACE,'{',7,270)
LexToken(KW_VAR,'var',11,414)
LexToken(ID,'variable',11,418)
LexToken(OP_ASSIGN,'=',11,427)
LexToken(VAL_INT,100,11,429)
LexToken(DEL_SEMICOLON,';',11,432)
LexToken(KW_FINAL,'final',12,436)
LexToken(DT_INT,'int',12,442)
LexToken(ID,'miEntero',12,446)
LexToken(OP_ASSIGN,'=',12,455)
LexToken(VAL_INT,50,12,457)
LexToken(DEL_SEMICOLON,';',12,459)
LexToken(KW_CONST,'const',13,463)
LexToken(DT_BOOL,'bool',13,469)
LexToken(ID,'flag',13,474)
LexToken(OP_ASSIGN,'=',13,479)
LexToken(KW_TRUE,'true',13,481)
LexToken(DEL_SEMICOLON,';',13,485)
LexToken(DT_MAP,'Map',16,556)
LexToken(OP_LESS,'<',16,559)
LexToken(DT_STRING,'String',16,560)
LexToken(DEL_COMMA,',',16,566)
LexToken(DT_INT,'int',16,568)
LexToken(OP_GREATHER,'>',16,571)
LexToken(OP_NULLABLE,'?',16,572)
LexToken(ID,'mapaNulable',16,574)
LexToken(DEL_SEMICOLON,';',16,585)
LexToken(DT_MAP,'Map',17,589)
LexToken(OP_LESS,'<',17,592)
LexToken(DT_STRING,'String',17,593)
LexToken(DEL_COMMA,',',17,599)
LexToken(DT_INT,'int',17,601)
LexToken(OP_GREATHER,'>',17,604)
LexToken(ID,'edades',17,606)
LexToken(OP_ASSIGN,'=',17,613)
LexToken(DEL_LBRACE,'{',17,615)
LexToken(VAL_STRING,'Juan',17,616)
LexToken(DEL_COLON,':',17,622)
LexToken(VAL_INT,25,17,624)
LexToken(DEL_COMMA,',',17,626)
LexToken(VAL_STRING,'Ana',17,628)
LexToken(DEL_COLON,':',17,633)
LexToken(VAL_INT,30,17,635)
LexToken(DEL_RBRACE,'}',17,637)
LexToken(DEL_SEMICOLON,';',17,638)
LexToken(KW_IF,'if',19,643)
LexToken(DEL_LPAREN,'(',19,646)
LexToken(ID,'variable',19,647)
LexToken(OP_LESS,'<',19,656)
LexToken(VAL_INT,200,19,658)
LexToken(DEL_RPAREN,')',19,661)
LexToken(DEL_LBRACE,'{',19,663)
LexToken(KW_PRINT,'print',20,669)
LexToken(DEL_LPAREN,'(',20,674)
LexToken(ID,'variable',20,675)
LexToken(DEL_RPAREN,')',20,683)
LexToken(DEL_SEMICOLON,';',20,684)
LexToken(DEL_RBRACE,'}',21,688)
LexToken(KW_ELSE,'else',21,690)
LexToken(DEL_LBRACE,'{',21,695)
LexToken(KW_PRINT,'print',22,701)
LexToken(DEL_LPAREN,'(',22,706)
LexToken(ID,'flag',22,707)
LexToken(DEL_RPAREN,')',22,711)
LexToken(DEL_SEMICOLON,';',22,712)
LexToken(DEL_RBRACE,'}',23,716)
LexToken(KW_IF,'if',25,721)
LexToken(DEL_LPAREN,'(',25,724)
LexToken(ID,'variable',25,725)
LexToken(OP_GREATHER,'>',25,734)
LexToken(VAL_INT,50,25,736)
LexToken(DEL_RPAREN,')',25,738)
LexToken(DEL_LBRACE,'{',25,740)
LexToken(KW_PRINT,'print',26,746)
LexToken(DEL_LPAREN,'(',26,751)
LexToken(VAL_STRING,'Correcto',26,752)
LexToken(DEL_RPAREN,')',26,762)
LexToken(DEL_SEMICOLON,';',26,763)
