LexToken(VOID,'void',6,90)
LexToken(ID,'main',6,95)
LexToken(DELIMITER,'(',6,99)
LexToken(DELIMITER,')',6,100)
LexToken(DELIMITER,'{',6,102)
LexToken(INT,'int',8,171)
LexToken(ID,'edadMascota',8,175)
LexToken(ASSIGN,'=',8,187)
LexToken(ENTERO,5,8,189)
LexToken(DELIMITER,';',8,190)
LexToken(DOUBLE,'double',9,194)
LexToken(ID,'peso',9,201)
LexToken(ASSIGN,'=',9,206)
LexToken(DECIMAL,12.5,9,208)
LexToken(DELIMITER,';',9,212)
LexToken(BOOL,'bool',10,216)
LexToken(ID,'estaVacunado',10,221)
LexToken(ASSIGN,'=',10,234)
LexToken(TRUE,'true',10,236)
LexToken(DELIMITER,';',10,240)
LexToken(VAR,'var',11,244)
LexToken(ID,'enTratamiento',11,248)
LexToken(ASSIGN,'=',11,262)
LexToken(FALSE,'false',11,264)
LexToken(DELIMITER,';',11,269)
LexToken(FINAL,'final',13,276)
LexToken(INT,'int',13,282)
LexToken(ID,'idConsulta',13,286)
LexToken(ASSIGN,'=',13,297)
LexToken(ENTERO,1024,13,299)
LexToken(DELIMITER,';',13,303)
LexToken(CONST,'const',14,307)
LexToken(DOUBLE,'double',14,313)
LexToken(ID,'costoBase',14,320)
LexToken(ASSIGN,'=',14,330)
LexToken(DECIMAL,15.0,14,332)
LexToken(DELIMITER,';',14,336)
LexToken(MAP,'Map',16,341)
LexToken(ID,'registroClinico',16,345)
LexToken(DELIMITER,';',16,360)
LexToken(SET,'Set',17,364)
LexToken(ID,'vacunasAplicadas',17,368)
LexToken(DELIMITER,';',17,384)
LexToken(INT,'int',20,445)
LexToken(NULO,'?',20,448)
LexToken(ID,'proximaCita',20,450)
LexToken(DELIMITER,';',20,461)
LexToken(IF,'if',23,529)
LexToken(DELIMITER,'(',23,532)
LexToken(ID,'edadMascota',23,533)
LexToken(RELACIONAL,'>=',23,545)
LexToken(ENTERO,5,23,548)
LexToken(LOGICO,'&&',23,550)
LexToken(ID,'peso',23,553)
LexToken(RELACIONAL,'!=',23,558)
LexToken(DECIMAL,0.0,23,561)
LexToken(DELIMITER,')',23,564)
LexToken(DELIMITER,'{',23,566)
LexToken(PRINT,'print',24,572)
LexToken(DELIMITER,'(',24,577)
LexToken(TRUE,'true',24,578)
LexToken(DELIMITER,')',24,582)
LexToken(DELIMITER,';',24,583)
LexToken(DELIMITER,'}',25,587)
LexToken(ELSE,'else',25,589)
LexToken(DELIMITER,'{',25,594)
LexToken(PRINT,'print',26,600)
LexToken(DELIMITER,'(',26,605)
LexToken(FALSE,'false',26,606)
LexToken(DELIMITER,')',26,611)
LexToken(DELIMITER,';',26,612)
LexToken(DELIMITER,'}',27,616)
LexToken(WHILE,'while',29,621)
LexToken(DELIMITER,'(',29,627)
LexToken(ID,'peso',29,628)
LexToken(RELACIONAL,'<',29,633)
LexToken(DECIMAL,20.0,29,635)
LexToken(LOGICO,'||',29,640)
LexToken(LOGICO,'!',29,643)
LexToken(ID,'estaVacunado',29,644)
LexToken(DELIMITER,')',29,656)
LexToken(DELIMITER,'{',29,658)
LexToken(BREAK,'break',30,664)
LexToken(DELIMITER,';',30,669)
LexToken(DELIMITER,'}',31,673)
LexToken(FOR,'for',33,678)
LexToken(DELIMITER,'(',33,682)
LexToken(INT,'int',33,683)
LexToken(ID,'i',33,687)
LexToken(ASSIGN,'=',33,689)
LexToken(ENTERO,0,33,691)
LexToken(DELIMITER,';',33,692)
LexToken(ID,'i',33,694)
LexToken(RELACIONAL,'<=',33,696)
LexToken(ENTERO,3,33,699)
LexToken(DELIMITER,';',33,700)
LexToken(ID,'i',33,702)
LexToken(ASSIGN,'=',33,704)
LexToken(ID,'i',33,706)
Caracter ilegal: '+' en la linea 33
LexToken(ENTERO,1,33,710)
LexToken(DELIMITER,')',33,711)
LexToken(DELIMITER,'{',33,713)
LexToken(DELIMITER,'}',35,744)
LexToken(SWITCH,'switch',37,749)
LexToken(DELIMITER,'(',37,756)
LexToken(ID,'idConsulta',37,757)
LexToken(DELIMITER,')',37,767)
LexToken(DELIMITER,'{',37,769)
LexToken(DELIMITER,'}',39,800)
LexToken(INT,'int',42,857)
LexToken(ID,'calcularDosis',42,861)
LexToken(DELIMITER,'(',42,874)
LexToken(DELIMITER,')',42,875)
LexToken(FLECHA,'=>',42,877)
LexToken(ENTERO,2,42,880)
LexToken(DELIMITER,';',42,881)
LexToken(RETURN,'return',44,888)
LexToken(DELIMITER,';',44,894)
LexToken(DELIMITER,'}',45,896)

